 DÉCADA 1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-7-1,Toute la memoire du monde (Toda la memoria del mundo),,,,,Francia,1956,00:21:00,,Alain Resnais,,Remo Forlani,,,Ghislain Cloquet,,Laboratorio Eclair,,Studios Marignan,Maurice Jarre,,Jacques Dumesnil,,,Director de Orquesta: Georges Delerue 
MXIM-AV-1-7-2,Every day except Christmas (Todos los días excepto Navidad),,,Look at Britain,1,Reino Unido,1957,00:38:00,,,Lindsay Anderson,,,,Walter Lassally,,,John Fletcher,John Fletcher,Daniel Paris,,Alun Owen,,,
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano ,Encuesta alimenticia en Rofrano,,,,Italia,1954,00:10:00,Prof. Sabato Visco,Virgilio Tossi,Virgilio Tossi,,Jean Gruault,,Libio Bartoli,,,,,,Luce,,,,
MXIM-AV-1-7-4,J'ai fait un beau voyage,Hice un hermoso viaje,,,,Francia,1959,00:27:24,,Roberto Rossellini,,Roberto Rossellini,,,Aldo Tonti,,"Etienne Lalou, Roberto Rossellini",Pierre Poulteau,,,,,,,
MXIM-AV-1-7-5,Les Maitres fous (Los amos locos),"The Mad Masters, Os mestres loucos",,,,Francia,1955,00:36:00,,Jean Rouch,,,,,,,Suzanne Baron,Damouré Zika e Ibrahima Dia,,,,,,,
MXIM-AV-1-7-6,Mammy Water (Madre del agua),,,,,Francia,1953,00:18:00,,Jean Rouch,,,,,,,Philippe Luzuy,Damoure et Lam,,,Ingeniero de sonido: André Cotin,,,,
MXIM-AV-1-7-7,"Moi, un noir (Yo, un negro)",,,Ciné-plaisir,volumen 2,Francia,1958,01:13:00,,Jean Rouch,,Jean Rouch ,,,Jean Rouch ,,"Marie-Josephe Yoyote, Catherine Dourgnon",André Lubin,,Josep Yapi Degree ,,Oumarou Ganda,,,Administración: Roger Fleytoux
MXIM-AV-1-7-8,Nuit et Brouillad (Noche y niebla),Noche y niebla,,,,Francia,1956,00:31:00,Olga Wormser Henri Michel,Alain Resnais,,Jean Cayrol,,,"Ghislain Cloquet, Sacccha Vierny",,,,Studios Marginan Laboratorio Joinville,Hanns Eisler,Georges Delerue,,,,"Consejeros de Historia: Olga Wormser y Henri Michel,  Efectos especiales: Henry Ferrand"
MXIM-AV-1-7-9,South of the border in traction,El sur de la Frontera en Marcha,,,,México,1992-1993 ,00:20:50,,,,,,,Vitaly Uzoff,,,,,,,,,,
MXIM-AV-1-7-10,We are the Lambeth Boys (Nosotros somos los chicos de Lambeth),,,Look at Britain,2,Gran Bretaña,1958,00:53:00,,,Karel Reisz,,,,Walter Lassally,,John Fletcher,,,"Johnny Dankworth, interpretada por la Johnny Dankworth Orchestra",,Jon Rollason,,,
MXIM-AV-1-7-11,Guernica,,,,,Francia,1950,00:13:11,,"Alain Resnais, Robert Hessens",,,,,,,,,,Guy Bernard,,"Maria Casares, Jacques Pruvost",,,
MXIM-AV-1-7-12,Le chant du styrene (El canto del estireno),O canto do Estireno,O canto do Estireno,,,Francia,1958,00:19:00,,Alain Resnais,,Raymond Queneau,,,Sacha Vierny,,,,,Pierre Barbaud,,Pierre Dux,,,
