DÉCADA 1950-1959,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-7-1,Toute la memoire du monde,Usos reservados para consulta in situ,,Francés,,,DVD,,,Blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-7-2,Every day except Chrismas,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano,Usos reservados para consulta in situ,,Italiano,,,,1 dvd ,copia,Blanco y negro,,NTSC,,
MXIM-AV-1-7-4,J'ai fait un beau voyage,Usos reservados para consulta in situ,,Francés,,,,"1 vhs, 1 dvd", copia,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-7-5,Les Maitres fous,Usos reservados para consulta in situ,,Francés,,Portugués,DVD,,,Color,,,,
MXIM-AV-1-7-6,Mammy Water,Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-7-7,"Moi, un noir",Usos reservados para consulta in situ,,Francés,,,DVD,2 dvd ,copia,Blanco y negro,Monoaural,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-7-8,Nuit et Brouillard (Noche y niebla),Usos reservados para consulta in situ,,Francés,,"Inglés, Español",DVD,2 dvd ,copia,"Color, Blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-7-9,South of the border in traction (El sur de la Frontera en Marcha),Usos reservados para consulta in situ,,Inglés,,,DVD,"1 vhs, 4 dvd",copias,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-7-10,We are the lambeth boys,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-7-11,Guernica,Usos reservados para consulta in situ,,Francés,,Portugués,DVD,,,Blanco y negro,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-7-12,Le chant du styrene,Usos reservados para consulta in situ,,Francés,,Portugués,DVD,,,Blanco y negro,,NTSC,,Reproductor DVD y monitor de TV
