 DÉCADA 1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-5-1,Á propos de Nice,A propósito de Niza,,,,Francia,1930,0:21:40,,Jean Vigo,,Jean Vigo,,,Boris Kaufman,,,,,,,,,,
MXIM-AV-1-5-2,Coal Face,Cara de carbón,,,,Reino Unido,1935,0:11:00,,,Alberto Cavalcanti,,,,,,William Coldstream,B.A. Pawley,Visatone-Marconi,Benjamín Britten,,,,,
MXIM-AV-1-5-3,Triumph des willens,El triunfo de la voluntad,,Trilogía de Núremberg,,Alemania,1934,1:54:00,,Leni Riefenstahl,,"Leni Riefenstahl, Walter Ruttmann",,,,,,,,"Herbert Windt, Richard Wagner",,,,,
MXIM-AV-1-5-4,Housing Problems,Problemas caseros,,,, Inglaterra,1935,0:15:00,,"Arthur Elton, E.H. Anstey",,,,,John Taylor,,,York Scarlet,,,,,,,
MXIM-AV-1-5-5,La natation par Jean Taris champion de France,"Taris, roi de léau",,,,Francia,1931,0:10:00,,Jean Vigo,,Jean Vigo,,,Boris Kaufman,,Jean Vigo,,,,,,Jean Taris.,,Asistente: Ary Sadoul
MXIM-AV-1-5-6,Las hurdes,Tierra sin pan,,,,España,1932,0:28:27,Maurice Legendre,Luis Buñuel,,"Julio Acin, Luis Buñuel, Pierre Urik", ,,Eli Lotar,,Luis Buñuel,,,,Darius Milhaud,Abel Jacquin,,,"Pierre Unik, Sanchez Ventura, "
MXIM-AV-1-5-7,Night Mail,Correo nocturno,,,,Reino Unido,1936,0:25:00,,"Harry Watt, Basil Wright",,,,,"Excmo Fowle, Jonah Jones",,"Basil Wright, RQ McNaughton",Cavalcanti Auden Brtitten,Pawley & Sullivan ,,Benjamin Britten,,,,"Escrito: WH Auden, Sonido: Alberto Cavalcanti, Narrador: John Grierson "
MXIM-AV-1-5-8,The Plow That Broke the Plains ,El arado que irrumpió en los llanos,,,,Estados Unidos,1936,0:25:00,"Pare Lorentz, John Franklin Carter Jr.",Pare Lorentz,,Pare Lorentz,,,"Ralph Steiner,  Paul Ivano, Paul Strand, Leo T. Hurwitz",,,,Joseph Kane,"Virgil Thomson, Alexander Smallens",,Thomas Chalmers,,,Editor de investigación (verificador de datos): Leo Zochling.
MXIM-AV-1-5-9,The river,El río,,,,Estados Unidos,1937,0:31:00,"Pare Lorentz, ",Pare Lorentz,,Pare Lorentz,,,"Floyd Crosbt, Stacy Woodard, Willard Van Dyke",,"Leo Zochling, Lloyd Noster",,,"Compositor: Virgil Thomson, Conductor: Alexander Smallens",,Thomas Chalmers,,,"Editor de investigación: A.A.Mercey, Técnico de sonido: Al Dillinger"
MXIM-AV-1-5-10,The spanish earth,"Tierra española, un documental sobre la Guerra Civil",,,,"Estados Unidos, Holanda",1937,0:52:32,,Joris Ivens,,"John Dos Passos, Ernest Hemingway",,,John Ferno,,Helen Van Dongen,Irving Reis,"Western Electric, Film Art Studios, Época videoediciones S.R.L",,"Marc Blitzstein, Virgil Thomson",,"Orson Welles, José Díaz, Dolores Ibarruri, Enrique Lister, Commander Martinez de Aragón, Gustav Regler",,"Comentario: Ernest Hemingway, Narración: Orson Welles, Adaptación a español: Prudencia de Pereda"
MXIM-AV-1-5-11,Tri pesni o Lénine,"Tres cantos a Lénin, Three songs about Lenin",,,,Unión Soviética,1934,0:57:00,,Dziga Vertov,,,"E. Svilova, Vertova, I. Kopalin, S. Pumpyanskaya",,"Dimitry Surensky, Mark Magidson, Betsion Monastyrsky",,,Shtro,,Yuri Shaporin,,,,,
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel,La transferencia del poder. La historia del engrane,,,,Inglaterra,1939,0:20:00,,Geoffrey Bell,,,,,Sydney Beadle,,,A. Birch,,,,,,Francis Rodker,
MXIM-AV-1-5-13,Un pioniere del cinema scientifico. Roberto Omegna 1876-1948,"Un pionero del cine científico, Roberto Omegna 1876-1948",,,,Italia,1939,0:44:57,,   ,,,,,,,Maria Schettino,,,,Franco Potenza,,,,
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,"Semana Santa en Lorca, Semana Santa en Murcia y Cartagena, Fiestas de Primavera en Murcia",,,,España,1934-1935,0:50:50,,José Del Val,,,,,José Val del Omar,,José Val del Omar,,,,,,,,Ayudante de rodaje: Cristobal Simancas
MXIM-AV-1-5-16,"Untericht im ""baris""-Tanz (Baris-Djauk-Tanz auf Bali)",,,,,,1938,0:01:40,,"Victor Von Plessen, Hilda Hedenus",,,,,,,,,,,,,,,
